a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19
zm_dockside,cdc,cia,MPUI_DOCKSIDE,menu_zm_map_signpost_dockside,0,MPUI_DESC_MAP_DOCKSIDE,compass_map_mp_dockside,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,-104,1,0,top
zm_carrier,cdc,cia,MPUI_CARRIER,menu_zm_map_signpost_carrier,0,MPUI_DESC_MAP_CARRIER,compass_map_mp_carrier,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,-114,18,0,top
zm_castaway,cdc,cia,MPUI_CASTAWAY,menu_zm_map_signpost_castaway,0,MPUI_DESC_MAP_CASTAWAY,compass_map_mp_castaway,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,-160,5,0,top
zm_bridge,cdc,cia,MPUI_BRIDGE,menu_zm_map_signpost_bridge,0,MPUI_DESC_MAP_BRIDGE,compass_map_mp_bridge,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,74,41,0,top
zm_dig,cdc,cia,MPUI_DIG,menu_zm_map_signpost_dig,0,MPUI_DESC_MAP_DIG,compass_map_mp_dig,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,-69,34,0,top
zm_downhill,cdc,cia,MPUI_DOWNHILL,menu_zm_map_signpost_downhill,0,MPUI_DESC_MAP_DOWNHILL,compass_map_mp_downhill,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,-6,46,0,top
zm_drone,cdc,cia,MPUI_DRONE,menu_zm_map_signpost_drone,0,MPUI_DESC_MAP_DRONE,compass_map_mp_drone,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,-96,19,0,top
zm_concert,cdc,cia,MPUI_CONCERT,menu_zm_map_signpost_concert,0,MPUI_DESC_MAP_CONCERT,compass_map_mp_concert,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,0,52,0,top
zm_express,cdc,cia,MPUI_EXPRESS,menu_zm_map_signpost_express,0,MPUI_DESC_MAP_EXPRESS,compass_map_mp_express,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,118,34,0,top
zm_frostbite,cdc,cia,MPUI_FROSTBITE,menu_zm_map_signpost_frostbite,0,MPUI_DESC_MAP_FROSTBITE,compass_map_mp_frostbite,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,-5,52,0,top
zm_skate,cdc,cia,MPUI_SKATE,menu_zm_map_signpost_skate,0,MPUI_DESC_MAP_SKATE,compass_map_mp_skate,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,118,34,0,top
zm_hijacked,cdc,cia,MPUI_HIJACKED,menu_zm_map_signpost_hijacked,0,MPUI_DESC_MAP_HIJACKED,compass_map_mp_hijacked,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,-65,10,0,top
zm_hydro,cdc,cia,MPUI_HYDRO,menu_zm_map_signpost_hydro,0,MPUI_DESC_MAP_HYDRO,compass_map_mp_hydro,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,-70,30,0,top
zm_magma,cdc,cia,MPUI_MAGMA,menu_zm_map_signpost_magma,0,MPUI_DESC_MAP_MAGMA,compass_map_mp_magma,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,-131,34,0,top
zm_meltdown,cdc,cia,MPUI_MELTDOWN,menu_zm_map_signpost_meltdown,0,MPUI_DESC_MAP_MELTDOWN,compass_map_mp_meltdown,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,-66,29,0,top
zm_mirage,cdc,cia,MPUI_MIRAGE,menu_zm_map_signpost_mirage,0,MPUI_DESC_MAP_MIRAGE,compass_map_mp_mirage,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,-105,42,0,top
zm_nuketown_2020,cdc,cia,MPUI_NUKETOWN2025,menu_zm_map_signpost_nuketown_2020,0,MPUI_DESC_MAP_NUKETOWN2025,compass_map_mp_nuketown_2020,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,110,40,0,top
zm_overflow,cdc,cia,MPUI_OVERFLOW,menu_zm_map_signpost_overflow,0,MPUI_DESC_MAP_OVERFLOW,compass_map_mp_overflow,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,-72,34,0,top
zm_nightclub,cdc,cia,MPUI_NIGHTCLUB,menu_zm_map_signpost_nightclub,0,MPUI_DESC_MAP_NIGHTCLUB,compass_map_mp_nightclub,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,-73,0,0,top
zm_pod,cdc,cia,MPUI_POD,menu_zm_map_signpost_pod,0,MPUI_DESC_MAP_POD,compass_map_mp_pod,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,-122,25,0,top
zm_raid,cdc,cia,MPUI_RAID,menu_zm_map_signpost_raid,0,MPUI_DESC_MAP_RAID,compass_map_mp_raid,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,118,34,0,top
zm_paintball,cdc,cia,MPUI_PAINTBALL,menu_zm_map_signpost_paintball,0,MPUI_DESC_MAP_PAINTBALL,compass_map_mp_paintball,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,84,33,0,top
zm_slums,cdc,cia,MPUI_SLUMS,menu_zm_map_signpost_slums,0,MPUI_DESC_MAP_SLUMS,compass_map_mp_slums,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,80,9,0,top
zm_village,cdc,cia,MPUI_VILLAGE,menu_zm_map_signpost_village,0,MPUI_DESC_MAP_VILLAGE,compass_map_mp_village,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,-75,42,0,top
zm_studio,cdc,cia,MPUI_STUDIO,menu_zm_map_signpost_studio,0,MPUI_DESC_MAP_STUDIO,compass_map_mp_studio,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,118,34,0,top
zm_takeoff,cdc,cia,MPUI_TAKEOFF,menu_zm_map_signpost_takeoff,0,MPUI_DESC_MAP_TAKEOFF,compass_map_mp_takeoff,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,160,10,0,top
zm_turbine,cdc,cia,MPUI_TURBINE,menu_zm_map_signpost_turbine,0,MPUI_DESC_MAP_TURBINE,compass_map_mp_turbine,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,-44,16,0,top
zm_uplink,cdc,cia,MPUI_UPLINK,menu_zm_map_signpost_uplink,0,MPUI_DESC_MAP_UPLINK,compass_map_mp_uplink,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,-94,20,0,top
zm_vertigo,cdc,cia,MPUI_VERTIGO,menu_zm_map_signpost_vertigo,0,MPUI_DESC_MAP_VERTIGO,compass_map_mp_vertigo,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,-73,19,0,top
zm_socotra,cdc,cia,MPUI_SOCOTRA,menu_zm_map_signpost_socotra,0,MPUI_DESC_MAP_SOCOTRA,compass_map_mp_socotra,SMALL,NO,YES,,ZMUI_CDC_SHORT,ZMUI_CIA_SHORT,faction_cdc,faction_cia,-54,12,0,top
