a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,,,,,,,,,,,,,
5,2,zm_prototype,prototype,ZMUI_PROTOTYPE_CAPS,ZMUI_PROTOTYPE_DESC,menu_zm_map_prototype_blit,1,-320,-240,-200,-300,,,,,,-320,-240,,,,
5,3,zm_factory,factory,ZMUI_FACTORY_CAPS,ZMUI_FACTORY_DESC,menu_zm_map_factory_blit,1,-320,-240,-200,-300,,,,,,-320,-240,,,,
5,4,zm_moon,moon,ZMUI_MOON_CAPS,ZMUI_MOON_DESC,menu_zm_map_moon_blit,1,-320,-240,-200,-300,,,,,,-320,-240,,,,
5,5,zm_transit,transit,ZMUI_TRANSIT_STARTLOC_CAPS,ZMUI_TRANSIT_STARTLOC_DESC,menu_zm_map_transit_blit_transit,2,-194,-160,-154,-260,farm,town,diner,diner,ZMUI_TRANSIT_STARTLOC,-200,-220,-90,0,200,150
5,6,zm_transit,town,ZMUI_TOWN_CAPS,ZMUI_TOWN_DESC,menu_zm_map_transit_blit_town,2,8,-60,138,-150,transit,farm,transit,farm,ZMUI_TOWN,130,-150,20,-20,250,140
5,7,zm_transit,farm,ZMUI_FARM_CAPS,ZMUI_FARM_DESC,menu_zm_map_transit_blit_farm,2,206,140,-14,80,diner,diner,town,transit,ZMUI_FARM,180,100,60,20,280,150
5,8,zm_nuked,nuked,ZMUI_NUKED_STARTLOC_CAPS,ZMUI_NUKED_STARTLOC_DESC,menu_zm_map_nuked_blit_nuked,1,0,0,180,-50,,,,,ZMUI_NUKED_STARTLOC,100,-90,,,,
5,9,zm_highrise,rooftop,ZMUI_ROOFTOP_CAPS,ZMUI_ROOFTOP_DESC,menu_zm_map_highrise_blit_rooftop,1,0,0,180,-50,,,,,ZMUI_ROOFTOP,150,-120,25,65,350,400
5,10,zm_transit,diner,ZMUI_DINER_CAPS,ZMUI_DINER_DESC,menu_zm_map_transit_blit_diner,1,-194,139,-154,80,farm,farm,transit,transit,ZMUI_DINER,-140,150,-50,45,250,140
5,11,zm_prison,prison,ZMUI_PRISON_CAPS,ZMUI_PRISON_DESC,menu_zm_map_prison_blit_prison,1,-320,-180,-250,-50,cellblock,cellblock,cellblock,cellblock,ZMUI_PRISON,-155,-80,,,,
5,12,zm_prison,cellblock,ZMUI_CELLBLOCK_CAPS,ZMUI_CELLBLOCK_DESC,menu_zm_map_prison_blit_cellblock,1,320,-180,138,-150,prison,prison,prison,prison,ZMUI_CELLBLOCK,130,-150,,,,
5,13,zm_buried,processing,ZMUI_BURIED_CAPS,ZMUI_BURIED_DESC,menu_zm_map_buried_blit_processing,1,185,1,-250,-100,street,street,street,street,ZMUI_BURIED,5,-115,,,,
5,14,zm_buried,street,ZMUI_STREET_LOC_CAPS,ZMUI_STREET_LOC_DESC,menu_zm_map_buried_blit_street,2,-241,121,-150,40,processing,processing,processing,processing,ZMUI_STREET_LOC,-310,80,0,0,400,300
5,15,zm_tomb,tomb,ZMUI_TOMB_CAPS,ZMUI_TOMB_DESC,menu_zm_map_tomb_blit_tomb,1,0,0,180,-50,tomb,tomb,tomb,tomb,ZMUI_TOMB,100,-90,,,,
5,16,zm_la,la,MPUI_LA_CAPS,MPUI_DESC_MAP_LA,loadscreen_zm_la_zstandard_la,1,0,0,180,-50,,,,,MPUI_LA,100,-90,,,,
5,17,zm_dockside,dockside,MPUI_DOCKSIDE_CAPS,MPUI_DESC_MAP_DOCKSIDE,loadscreen_zm_dockside_zstandard_dockside,1,0,0,180,-50,,,,,MPUI_DOCKSIDE,100,-90,,,,
5,18,zm_carrier,carrier,MPUI_CARRIER_CAPS,MPUI_DESC_MAP_CARRIER,loadscreen_zm_carrier_zstandard_carrier,1,0,0,180,-50,,,,,MPUI_CARRIER,100,-90,,,,
5,19,zm_castaway,castaway,MPUI_CASTAWAY_CAPS,MPUI_DESC_MAP_CASTAWAY,loadscreen_zm_castaway_zstandard_castaway,1,0,0,180,-50,,,,,MPUI_CASTAWAY,100,-90,,,,
5,20,zm_bridge,bridge,MPUI_BRIDGE_CAPS,MPUI_DESC_MAP_BRIDGE,loadscreen_zm_bridge_zstandard_bridge,1,0,0,180,-50,,,,,MPUI_BRIDGE,100,-90,,,,
5,21,zm_dig,dig,MPUI_DIG_CAPS,MPUI_DESC_MAP_DIG,loadscreen_zm_dig_zstandard_dig,1,0,0,180,-50,,,,,MPUI_DIG,100,-90,,,,
5,22,zm_downhill,downhill,MPUI_DOWNHILL_CAPS,MPUI_DESC_MAP_DOWNHILL,loadscreen_zm_downhill_zstandard_downhill,1,0,0,180,-50,,,,,MPUI_DOWNHILL,100,-90,,,,
5,23,zm_drone,drone,MPUI_DRONE_CAPS,MPUI_DESC_MAP_DRONE,loadscreen_zm_drone_zstandard_drone,1,0,0,180,-50,,,,,MPUI_DRONE,100,-90,,,,
5,24,zm_concert,concert,MPUI_CONCERT_CAPS,MPUI_DESC_MAP_CONCERT,loadscreen_zm_concert_zstandard_concert,1,0,0,180,-50,,,,,MPUI_CONCERT,100,-90,,,,
5,25,zm_express,express,MPUI_EXPRESS_CAPS,MPUI_DESC_MAP_EXPRESS,loadscreen_zm_express_zstandard_express,1,0,0,180,-50,,,,,MPUI_EXPRESS,100,-90,,,,
5,26,zm_frostbite,frostbite,MPUI_FROSTBITE_CAPS,MPUI_DESC_MAP_FROSTBITE,loadscreen_zm_frostbite_zstandard_frostbite,1,0,0,180,-50,,,,,MPUI_FROSTBITE,100,-90,,,,
5,27,zm_skate,skate,MPUI_SKATE_CAPS,MPUI_DESC_MAP_SKATE,loadscreen_zm_skate_zstandard_skate,1,0,0,180,-50,,,,,MPUI_SKATE,100,-90,,,,
5,28,zm_hijacked,hijacked,MPUI_HIJACKED_CAPS,MPUI_DESC_MAP_HIJACKED,loadscreen_zm_hijacked_zstandard_hijacked,1,0,0,180,-50,,,,,MPUI_HIJACKED,100,-90,,,,
5,29,zm_hydro,hydro,MPUI_HYDRO_CAPS,MPUI_DESC_MAP_HYDRO,loadscreen_zm_hydro_zstandard_hydro,1,0,0,180,-50,,,,,MPUI_HYDRO,100,-90,,,,
5,30,zm_magma,magma,MPUI_MAGMA_CAPS,MPUI_DESC_MAP_MAGMA,loadscreen_zm_magma_zstandard_magma,1,0,0,180,-50,,,,,MPUI_MAGMA,100,-90,,,,
5,31,zm_meltdown,meltdown,MPUI_MELTDOWN_CAPS,MPUI_DESC_MAP_MELTDOWN,loadscreen_zm_meltdown_zstandard_meltdown,1,0,0,180,-50,,,,,MPUI_MELTDOWN,100,-90,,,,
5,32,zm_mirage,mirage,MPUI_MIRAGE_CAPS,MPUI_DESC_MAP_MIRAGE,loadscreen_zm_mirage_zstandard_mirage,1,0,0,180,-50,,,,,MPUI_MIRAGE,100,-90,,,,
5,33,zm_nuketown_2020,nuketown_2020,MPUI_NUKETOWN2025_CAPS,MPUI_DESC_MAP_NUKETOWN2025,loadscreen_zm_nuketown_2020_zstandard_nuketown_2020,1,0,0,180,-50,,,,,MPUI_NUKETOWN2025,100,-90,,,,
5,34,zm_overflow,overflow,MPUI_OVERFLOW_CAPS,MPUI_DESC_MAP_OVERFLOW,loadscreen_zm_overflow_zstandard_overflow,1,0,0,180,-50,,,,,MPUI_OVERFLOW,100,-90,,,,
5,35,zm_nightclub,nightclub,MPUI_NIGHTCLUB_CAPS,MPUI_DESC_MAP_NIGHTCLUB,loadscreen_zm_nightclub_zstandard_nightclub,1,0,0,180,-50,,,,,MPUI_NIGHTCLUB,100,-90,,,,
5,36,zm_pod,pod,MPUI_POD_CAPS,MPUI_DESC_MAP_POD,loadscreen_zm_pod_zstandard_pod,1,0,0,180,-50,,,,,MPUI_POD,100,-90,,,,
5,37,zm_raid,raid,MPUI_RAID_CAPS,MPUI_DESC_MAP_RAID,loadscreen_zm_raid_zstandard_raid,1,0,0,180,-50,,,,,MPUI_RAID,100,-90,,,,
5,38,zm_paintball,paintball,MPUI_PAINTBALL_CAPS,MPUI_DESC_MAP_PAINTBALL,loadscreen_zm_paintball_zstandard_paintball,1,0,0,180,-50,,,,,MPUI_PAINTBALL,100,-90,,,,
5,39,zm_slums,slums,MPUI_SLUMS_CAPS,MPUI_DESC_MAP_SLUMS,loadscreen_zm_slums_zstandard_slums,1,0,0,180,-50,,,,,MPUI_SLUMS,100,-90,,,,
5,40,zm_village,village,MPUI_VILLAGE_CAPS,MPUI_DESC_MAP_VILLAGE,loadscreen_zm_village_zstandard_village,1,0,0,180,-50,,,,,MPUI_VILLAGE,100,-90,,,,
5,41,zm_studio,studio,MPUI_STUDIO_CAPS,MPUI_DESC_MAP_STUDIO,loadscreen_zm_studio_zstandard_studio,1,0,0,180,-50,,,,,MPUI_STUDIO,100,-90,,,,
5,42,zm_takeoff,takeoff,MPUI_TAKEOFF_CAPS,MPUI_DESC_MAP_TAKEOFF,loadscreen_zm_takeoff_zstandard_takeoff,1,0,0,180,-50,,,,,MPUI_TAKEOFF,100,-90,,,,
5,43,zm_turbine,turbine,MPUI_TURBINE_CAPS,MPUI_DESC_MAP_TURBINE,loadscreen_zm_turbine_zstandard_turbine,1,0,0,180,-50,,,,,MPUI_TURBINE,100,-90,,,,
5,44,zm_uplink,uplink,MPUI_UPLINK_CAPS,MPUI_DESC_MAP_UPLINK,loadscreen_zm_uplink_zstandard_uplink,1,0,0,180,-50,,,,,MPUI_UPLINK,100,-90,,,,
5,45,zm_vertigo,vertigo,MPUI_VERTIGO_CAPS,MPUI_DESC_MAP_VERTIGO,loadscreen_zm_vertigo_zstandard_vertigo,1,0,0,180,-50,,,,,MPUI_VERTIGO,100,-90,,,,
5,46,zm_socotra,socotra,MPUI_SOCOTRA_CAPS,MPUI_DESC_MAP_SOCOTRA,loadscreen_zm_socotra_zstandard_socotra,1,0,0,180,-50,,,,,MPUI_SOCOTRA,100,-90,,,,
startloc_gamemode_map,51,,,,,,,,,,,,,,,,,,,,,
6,0,zm_bus_test,default,zclassic,0,left,YES,,,,,,,,,,,,,,,
6,1,zm_meat,test,zclassic,0,left,YES,,,,,,,,,,,,,,,
6,2,zm_prototype,prototype,zclassic,5,left,YES,,,,,,,,,,,,,,,
6,3,zm_factory,factory,zclassic,5,left,YES,,,,,,,,,,,,,,,
6,4,zm_moon,moon,zclassic,5,left,YES,,,,,,,,,,,,,,,
6,5,zm_transit,transit,zclassic,0,left,YES,,,,,,,,,,,,,,,
6,6,zm_transit,transit,zstandard,0,left,NO,,,,,,,,,,,,,,,
6,7,zm_transit,town,zgrief,0,right,NO,,,,,,,,,,,,,,,
6,8,zm_transit,town,zstandard,0,right,NO,,,,,,,,,,,,,,,
6,9,zm_transit,farm,zgrief,0,left,NO,,,,,,,,,,,,,,,
6,10,zm_transit,farm,zstandard,0,left,NO,,,,,,,,,,,,,,,
6,11,zm_nuked,nuked,zstandard,2,left,YES,,,,,,,,,,,,,,,
6,12,zm_highrise,rooftop,zclassic,3,right,YES,,,,,,,,,,,,,,,
6,13,zm_transit,diner,zcleansed,3,right,NO,,,,,,,,,,,,,,,
6,14,zm_prison,prison,zclassic,4,right,YES,,,,,,,,,,,,,,,
6,15,zm_prison,cellblock,zgrief,4,right,NO,,,,,,,,,,,,,,,
6,16,zm_buried,processing,zclassic,5,right,YES,,,,,,,,,,,,,,,
6,17,zm_buried,street,zgrief,5,right,NO,,,,,,,,,,,,,,,
6,18,zm_buried,street,zcleansed,5,right,NO,,,,,,,,,,,,,,,
6,19,zm_tomb,tomb,zclassic,6,right,YES,,,,,,,,,,,,,,,
6,20,zm_la,la,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,21,zm_dockside,dockside,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,22,zm_carrier,carrier,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,23,zm_castaway,castaway,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,24,zm_bridge,bridge,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,25,zm_dig,dig,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,26,zm_downhill,downhill,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,27,zm_drone,drone,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,28,zm_concert,concert,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,29,zm_express,express,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,30,zm_frostbite,frostbite,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,31,zm_skate,skate,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,32,zm_hijacked,hijacked,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,33,zm_hydro,hydro,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,34,zm_magma,magma,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,35,zm_meltdown,meltdown,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,36,zm_mirage,mirage,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,37,zm_nuketown_2020,nuketown_2020,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,38,zm_overflow,overflow,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,39,zm_nightclub,nightclub,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,40,zm_pod,pod,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,41,zm_raid,raid,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,42,zm_paintball,paintball,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,43,zm_slums,slums,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,44,zm_village,village,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,45,zm_studio,studio,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,46,zm_takeoff,takeoff,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,47,zm_turbine,turbine,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,48,zm_uplink,uplink,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,49,zm_vertigo,vertigo,zstandard,0,left,YES,,,,,,,,,,,,,,,
6,50,zm_socotra,socotra,zstandard,0,left,YES,,,,,,,,,,,,,,,
